Name,Price,Brand,Condition,Clusters
DFSK Glory I AUTO Fully Loaded 2021,67925.0,DFSK,Used,4
Toyota Premio G Superior 2018,89750.0,Toyota,Used,4
Nissan Note Nismo Body kit 2014,39750.0,Nissan,Used,0
Micro Panda 2012,10350.0,Micro,Used,0
Honda Grace Ex 2014,45000.0,Honda,Used,0
Honda City VTEC 2001,16000.0,Honda,Used,0
BMW 523i 2010,77500.0,BMW,Used,4
Mitsubishi Montero 2007,98500.0,Mitsubishi,Used,4
Toyota CHR NGX10 GT Turbo 2019,82500.0,Toyota,Used,4
Chery QQ Sports 2007,5975.0,Chery,Used,0
Suzuki Wagon R J Style 2014,22750.0,Suzuki,Used,0
Datsun Redi Go 2017,13000.0,Datsun,Used,0
Toyota Aqua S Grade 2012,27000.0,Toyota,Used,0
Toyota Axio WXB 2017,63000.0,Toyota,Used,4
Honda Vezel X Sensing 2017,55450.0,Honda,Used,4
Toyota Aqua 2012,26250.0,Toyota,Used,0
Mitsubishi 4DR 4DR6 1992,28250.0,Mitsubishi,Used,0
Toyota Premio 2017,85000.0,Toyota,Used,4
Nissan Sunny N16 2000,15300.0,Nissan,Used,0
Mercedes Benz CLA 180 AMG Premium Plus 2019,137500.0,Mercedes Benz,Used,2
Perodua Viva Elite - 2011,15375.0,Perodua,Used,0
Toyota Land Cruiser Sahara 100 1999,85000.0,Toyota,Used,4
Hyundai Sonata 2011,39000.0,Hyundai,Used,0
Toyota Axio G Grade 2016,45750.0,Toyota,Used,0
Toyota Vitz Safety edition 2019,46000.0,Toyota,Used,0
Honda Vezel Z Grade 2014,40750.0,Honda,Used,0
Suzuki Hustler 2018,27875.0,Suzuki,Used,0
Kia Picanto 2016,23750.0,Kia,Used,0
Nissan Sunny HB3 10 1978,4250.0,Nissan,Used,0
Toyota Axio 2014,39500.0,Toyota,Used,0
Toyota Axio 2016,47500.0,Toyota,Used,0
Toyota Corolla kE72 1984,3600.0,Toyota,Used,0
Mitsubishi Lancer 1978,3750.0,Mitsubishi,Used,0
Toyota Corolla 2001,23750.0,Toyota,Used,0
Toyota Land Cruiser Prado GX 2007,85000.0,Toyota,Used,4
Suzuki Celerio 2017,25000.0,Suzuki,Used,0
Suzuki Celerio 2015,21500.0,Suzuki,Used,0
Mazda Familia BJ5P 2004,16750.0,Mazda,Used,0
Toyota Premio E FX 2019,92500.0,Toyota,Used,4
Volkswagen Polo GT 2016,36450.0,Volkswagen,Used,0
Toyota Land Cruiser Prado TX LIMITED 2017,230000.0,Toyota,Reconditioned,1
BMW X2 M SPORT 2019,127500.0,BMW,Used,2
Suzuki Swift Stingray 2014,23450.0,Suzuki,Used,0
Mitsubishi Lancer CS 1 2003,16000.0,Mitsubishi,Used,0
Mitsubishi Eclipse Cross 2020,92500.0,Mitsubishi,Used,4
Suzuki Wagon R FZ Safety 2014,22500.0,Suzuki,Used,0
Suzuki Alto LXI 2015,13700.0,Suzuki,Used,0
Suzuki Wagon R Stingray 2018,30000.0,Suzuki,Used,0
Toyota Prius S Led 2012,39250.0,Toyota,Used,0
Audi Q3 1.4 TFSI 2016,75000.0,Audi,Reconditioned,4
Toyota Rush G Grade 2007,34250.0,Toyota,Used,0
Toyota Premio E FX 2018,87500.0,Toyota,Used,4
Toyota Aqua Toyato 2012,34250.0,Toyota,Used,0
Toyota Vitz 8 Airbag Push Start 2007,24950.0,Toyota,Used,0
Nissan Dualis 2WD SUV 2007,31000.0,Nissan,Used,0
Suzuki Alto LXI sport 2011,11050.0,Suzuki,Used,0
Toyota Premio 2018,89000.0,Toyota,Used,4
Toyota Land Cruiser Prado 2015,229000.0,Toyota,Used,1
Honda Fit 2015,36000.0,Honda,Used,0
Toyota Land Cruiser Prado 6 SPEED 2015,185000.0,Toyota,Reconditioned,2
Micro MX 7 2012,11475.0,Micro,Used,0
Nissan Bluebird 1982,3500.0,Nissan,Used,0
Nissan Pulsar 1996,11375.0,Nissan,Used,0
Suzuki Wagon R FX Safety Package 2019,29000.0,Suzuki,Used,0
Mitsubishi Xpander Cross 2020,76000.0,Mitsubishi,Used,4
Nissan Sunny 1977,2325.0,Nissan,Used,0
Honda Freed 2012,34000.0,Honda,Used,0
Honda Freed 2012,13000.0,Honda,Used,0
Toyota Prius S Touring 2011,36950.0,Toyota,Used,0
Toyota Land Cruiser Sahara V8 2017,320000.0,Toyota,Used,1
Suzuki Wagon R FZ safty 2017,26250.0,Suzuki,Used,0
Chery QQ 2007,5875.0,Chery,Used,0
Suzuki Wagon R FZ Premium 2018,28250.0,Suzuki,Used,0
Toyota Axio Hybrid X Grade 2014,40250.0,Toyota,Used,0
Suzuki Wagon R FX 2017,23750.0,Suzuki,Used,0
Honda Vezel 2016,52500.0,Honda,Used,4
Toyota CHR NGX10 2018,69950.0,Toyota,Used,4
Nissan AD Wagon 1997,13000.0,Nissan,Used,0
Suzuki Hustler Mazda Flair 2015,23000.0,Suzuki,Used,0
Mercedes Benz CLA 200 Premium Plus 2020,157500.0,Mercedes Benz,Used,2
Honda Civic EX with Sunroof 2017,58075.0,Honda,Used,4
Toyota CHR 2018,724500.0,Toyota,Used,3
Hyundai Elantra 2001,9250.0,Hyundai,Used,0
Kia Sorento 2012,56750.0,Kia,Used,4
Toyota CHR 2017,64950.0,Toyota,Used,4
Nissan Leaf X Grade 2012,10475.0,Nissan,Used,0
Toyota Vitz 2018,39950.0,Toyota,Used,0
Audi A5 TFSI 2018,136000.0,Audi,Used,2
Suzuki Wagon R 2019,32500.0,Suzuki,Used,0
Nissan X-Trail 2015,57500.0,Nissan,Used,4
Toyota Roomy 2017,39000.0,Toyota,Used,0
BMW 520d 2012,82500.0,BMW,Used,4
Toyota Corolla 111 1998,14875.0,Toyota,Used,0
Honda Vezel RS Sensing 2017,61750.0,Honda,Used,4
Hyundai Accent Automatic 2002,14875.0,Hyundai,Used,0
Toyota Premio DBA -NZT260 2013,59500.0,Toyota,Used,4
Toyota Axio 2016,52500.0,Toyota,Used,4
Hyundai Accent Automatic 2002,14875.0,Hyundai,Used,0
Toyota Aqua 2015,28500.0,Toyota,Used,0
Land Rover Range Evoque 2013,82500.0,Land Rover,Used,4
Honda Vezel Brilliant Style 2017,64000.0,Honda,Used,4
